Round,ID,TITLE,ABSTRACT,KEYWORDS,YEAR,SOURCE TITLE,DOCUMENT TYPE,Research Type,SWEBOK
1,SCP0064,Some Size and Structure Metrics for Quantum Software,"Quantum software plays a critical role in exploiting the full potential of quantum computing systems. As a result, it is drawing increasing attention recently. As research in quantum programming reaches maturity with a number of active research and practical products, software metric researchers need to focus on this new paradigm to evaluate it rigorously and quantitatively. As the first step, this paper proposes some basic metrics for quantum software, which mainly focus on measuring the size and structure of quantum software. These metrics are defined at different abstraction levels to represent various size and structure attributes in quantum software explicitly. The proposed metrics can be used to evaluate quantum software from various viewpoints.  © 2021 IEEE.",quantum software design; quantum software engineering; Quantum software metrics,2021,International Workshop on Quantum Software Engineering,Conference Paper,Proposal of solution,Software Quality
1,SCP0485,Study of a Quantum Framework for Search Based Software Engineering,"The Search Based Software Engineering (SBSE) is widely used in the software engineering to identify optimal solutions. The traditional methods and algorithms used in SBSE are criticized due to their high costs. In this paper, we propose a rapid modified-Grover quantum searching method for SBSE, and theoretically this method can be applied to any search-space structure and any type of searching problems. © 2013 Springer Science+Business Media New York.",Complex structure; Grover algorithm; Quantum algorithm; Searching; Software engineering,2013,International Journal of Theoretical Physics,Article,Proposal of solution,Software Engineering Models and Methods
1,WOS1453,Supply and Demand in the Training of Quantum Software Engineering Workforce,"Quantum Technologies are experiencing significant growth due to substantial investments made by governments worldwide. These investments aim to enhance global competitiveness in this field and position countries as key players. However, facing the changes of this new paradigm requires an increment in the workforce with specialized expertise in Quantum Technologies, particularly in the area of Quantum Computing. In this paper, we present a concise overview of the current quantum computing education offers and an outline of the current job offer landscape. We highlight essential elements for individuals interested in building a career profile in quantum software engineering, including understanding the professional requirements that experts and companies have established. The main goal of this paper is to offer an overview of the current educational and professional landscape in the quantum software engineering field, empowering the next generation of software engineers to thrive in a quantum technology driven future that will profoundly impact human lives.",Quantum Computing; Quantum Software Engineering; Education and Training; Competence Framework,2024,Memoria Investigaciones en Ingeniería,Article,Opinion papers,Software Architecture
1,SCP0019,Technical debts and faults in open-source quantum software systems: An empirical study,"Quantum computing is a rapidly growing field attracting the interest of both researchers and software developers. Supported by its numerous open-source tools, developers can now build, test, or run their quantum algorithms. Although the maintenance practices for traditional software systems have been extensively studied, the maintenance of quantum software is still a new field of study but a critical part to ensure the quality of a whole quantum computing system. In this work, we set out to investigate the distribution and evolution of technical debts in quantum software and their relationship with fault occurrences. Understanding these problems could guide future quantum development and provide maintenance recommendations for the key areas where quantum software developers and researchers should pay more attention. In this paper, we empirically studied 118 open-source quantum projects, which were selected from GitHub. The projects are categorized into 10 categories. We found that the studied quantum software suffers from the issues of code convention violation, error-handling, and code design. We also observed a statistically significant correlation between code design, redundant code or code convention, and the occurrences of faults in quantum software. © 2022 Elsevier Inc.",Quantum computing; Software bugs; Software maintenance; Software reliability; Technical debts,2022,Journal of Systems and Software,Article,Evaluation research,Software Maintenance
1,SCP0342,Test Case Minimization with Quantum Annealers,"Quantum annealers are specialized quantum computers for solving combinatorial optimization problems with special quantum computing characteristics, e.g., superposition and entanglement. Theoretically, quantum annealers can outperform classic computers. However, current quantum annealers are constrained by a limited number of qubits and cannot demonstrate quantum advantages. Nonetheless, research is needed to develop novel mechanisms to formulate combinatorial optimization problems for quantum annealing (QA). However, QA applications in software engineering remain unexplored. Thus, we propose BootQA, the very first effort at solving test case minimization (TCM) problems on classical software with QA. We provide a novel TCM formulation for QA and utilize bootstrap sampling to optimize the qubit usage. We also implemented our TCM formulation in three other optimization processes: simulated annealing (SA), QA without problem decomposition, and QA with an existing D-Wave problem decomposition strategy, and conducted an empirical evaluation with three real-world TCM datasets. Results show that BootQA outperforms QA without problem decomposition and QA with the existing decomposition strategy regarding effectiveness. Moreover, BootQA's effectiveness is similar to SA. Finally, BootQA has higher efficiency in terms of time when solving large TCM problems than the other three optimization processes.  © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.",D-Wave; quantum annealer; quantum computing; test case minimization,2024,Transactions on Software Engineering and Methodology,Article,Evaluation research,Software Testing
1,WOS1516,Testing Multi-Subroutine Quantum Programs: From Unit Testing to Integration Testing,"Quantum computing has emerged as a promising field with the potential to revolutionize various domains by harnessing the principles of quantum mechanics. As quantum hardware and algorithms continue to advance, developing high-quality quantum software has become crucial. However, testing quantum programs poses unique challenges due to the distinctive characteristics of quantum systems and the complexity of multi-subroutine programs. This article addresses the specific testing requirements of multi-subroutine quantum programs. We begin by investigating critical properties by surveying existing quantum libraries and providing insights into the challenges of testing these programs. Building upon this understanding, we focus on testing criteria and techniques based on the whole testing process perspective, spanning from unit testing to integration testing. We delve into various aspects, including IO analysis, quantum relation checking, structural testing, behavior testing, integration of subroutine pairs, and test case generation. We also introduce novel testing principles and criteria to guide the testing process. We conduct comprehensive testing on typical quantum subroutines, including diverse mutants and randomized inputs, to evaluate our proposed approach. The analysis of failures provides valuable insights into the effectiveness of our testing methodology. Additionally, we present case studies on representative multi-subroutine quantum programs, demonstrating the practical application and effectiveness of our proposed testing principles and criteria.",Quantum computing; software testing; unit testing; integration testing,2024,Transactions on Software Engineering and Methodology,Article,Evaluation research,Software Testing
1,SCP0183,Testing quantum programs using Q# and Microsoft quantum development kit,"As the quantum software matures, the quantum codebases grow both in size and in complexity, and so does the task of testing them and verifying their correctness. In this paper we show how to test and validate several common types of quantum programs written in the quantum programming language Q# using the tools provided by the Microsoft Quantum Development Kit. Our approach uses multiple simulators and library tools for program testing and resource estimation, performing these steps before running the programs on quantum hardware. The demonstrated approach is illustrated with code examples from the Quantum Katas, a collection of quantum programming tutorials that provide immediate feedback for the learner’s solution. © 2021 Copyright for this paper by its authors.",Microsoft quantum development kit; Q#; Quantum programming; Quantum software engineering; Quantum software testing,2021,International Workshop on Quantum Software Engineering and Technology,Conference Paper,Opinion papers,Software Testing
1,SCP0282,The evaluation of software security through quantum computing techniques: A durability perspective,"The primary goal of this research study, in the field of information technology (IT), is to improve the security and durability of software. A quantum computing-based security algorithm springs quite a lot of symmetrical approaches and procedures to ensure optimum software retreat. The accurate assessment of software’s durability and security is a dynamic aspect in assessing, administrating, and controlling security for strengthening the features of security. This paper essentially emphasises the demarcation and depiction of quantum computing from a software security perspective. At present, different symmetrical-based cryptography approaches or algorithms are being used to protect different government and non-government sectors, such as banks, healthcare sectors, defense, transport, automobiles, navigators, weather forecasting, etc., to ensure software durability and security. However, many crypto schemes are likely to collapse when a large qubit-based quantum computer is developed. In such a scenario, it is necessary to pay attention to the security alternatives based on quantum computing. Presently, the different factors of software durability are usability, dependability, trustworthiness, and human trust. In this study, we have also classified the durability level in the second stage. The intention of the evaluation of the impact on security over quantum duration is to estimate and assess the security durability of software. In this research investigation, we have followed the symmetrical hybrid technique of fuzzy analytic hierarchy process (FAHP) and fuzzy technique for order of preference by similarity to ideal solution (FTOPSIS). The obtained results, and the method used in this estimation, would make a significant contribution to future research for organising software security and durability (SSD) in the presence of a quantum computer. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Fuzzy AHP; Fuzzy TOPSIS; Quantum computing; Software durability; Software security; Symmetrical technique,2021,Applied Sciences (Switzerland),Article,Evaluation research,Software Security
1,SCP0057,The quantum software engineering path,"With the rise of the first quantum computers and programming languages, first quantum algorithms came up, which yield promising results. Quantum Computing is becoming more and more a mature area while an investment scalation is happening in public and private sectors. There are a lot of promising application that never comes true with quantum computers in isolation. Quantum software is necessary to achieve all the claimed, cutting-edge applications in almost every business sector. Quantum software, as other kind of software, need to be planned, designed, coded, estimated, tested, quality-assured, evolved, among other things. This means, quantum software engineering needs to be developed as a new discipline, both in academia and industry. This column provides an overview for this need, and the main challenges in the next years. © 2020 Copyright for this paper by its authors.",Quantum computing; Quantum programming; Quantum software engineering,2020,International Workshop on Quantum Software Engineering and Technology,Conference Paper,Opinion papers,The Software Engineering in General
1,SCP0035,The Smelly Eight: An Empirical Study on the Prevalence of Code Smells in Quantum Computing,"Quantum Computing (QC) is a fast-growing field that has enhanced the emergence of new programming languages and frameworks. Furthermore, the increased availability of computational resources has also contributed to an influx in the development of quantum programs. Given that classical and QC are significantly different due to the intrinsic nature of quantum programs, several aspects of QC (e.g., performance, bugs) have been investigated, and novel approaches have been proposed. However, from a purely quantum perspective, maintenance, one of the major steps in a software development life-cycle, has not been considered by researchers yet. In this paper, we fill this gap and investigate the prevalence of code smells in quantum programs as an indicator of maintenance issues. We defined eight quantum-specific smells and validated them through a survey with 35 quantum developers. Since no tool specifically aims to detect quantum smells, we developed a tool called QSmell that supports the proposed quantum-specific smells. Finally, we conducted an empirical investigation to analyze the prevalence of quantum-specific smells in 15 open-source quantum programs. Our results showed that 11 programs (73.33%) contain at least one smell and, on average, a program has three smells. Furthermore, the long circuit is the most prevalent smell present in 53.33% of the programs. © 2023 IEEE.",Empirical study; Quantum computing; Quantum software engineering; Quantum-specific code smell,2023,International Conference on Software Engineering,Conference Paper,Evaluation research,Software Quality
1,SCP0076,Toward a Quantum Software Engineering,"Nowadays, we are at the dawn of a new age, the quantum era. Quantum computing is no longer a dream; it is a reality that needs to be adopted. But this new technology is taking its first steps, so we still do not have models, standards, or methods to help us in the creation of new systems and the migration of current ones. Given the current state of quantum computing, we need to go back to the path software engineering took in the last century to achieve the new golden age for quantum software engineering. © 1999-2012 IEEE.",,2021,IT Professional,Article,Opinion papers,The Software Engineering in General
1,SCP0228,Toward automatic verification of quantum programs,"This paper summarises the results obtained by the author and his collaborators in a program logic approach to the verification of quantum programs, including quantum Hoare logic, invariant generation and termination analysis for quantum programs. It also introduces the notion of proof outline and several auxiliary rules for more conveniently reasoning about quantum programs. Some problems for future research are proposed at the end of the paper. © 2018, British Computer Society.",Auxiliary rules; Hoare logic; Invariant generation; Proof outline; Quantum programming; Termination analysis,2019,Formal Aspects of Computing,Article,Proposal of solution,Software Testing
1,SCP0052,Towards a Framework of Architectural Patterns for Quantum Software Engineering,"Quantum software engineering (QSE) has emerged as a discipline to address the challenges associated with developing software systems in the context of advancing quantum computing technology. This paper explores architectural design patterns specific to QSE. Building on previous work highlighting the need for high-level patterns, we analyze emerging architectural approaches in quantum computing. We identify key challenges unique to hybrid quantum-classical systems and propose a preliminary taxonomy of QSE architectural patterns. These patterns address recurring design problems in areas such as quantum resource management and classical-quantum integration. We describe several potential patterns and discuss their theoretical applications in hybrid software systems. This work aims to provide a foundation for further research into standardizing QSE architectural practices, with the goal of enhancing various quality characteristics of hybrid software (e.g., modularity or maintainability) in the NISQ era and beyond. © 2024 IEEE.",architectural patterns; maintainability; quantum software engineering; software patterns,2024,International Conference on Quantum Computing and Engineering,Conference Paper,Philosophical papers,Software Architecture
1,SCP0225,Towards a set of metrics for hybrid (quantum/classical) systems maintainability,"Given the rapid evolution that has taken place in recent years in the software industry, and along with it the emergence of quantum software, there is a need to design an environment for measuring quality metrics for hybrid, classic-quantum software. In order to measure and evaluate the quality of classic software, there are models and standards, among which ISO/IEC 25000 stands out, which proposes a set of quality characteristics such as maintainability. However, there is currently no consensus for the measurement and evaluation of quantum software quality. In this paper we propose a series of adaptations to “classic” metrics, as well as a set of new measurements for hybrid maintainability. Finally, a first prototype of a measurement tool developed as a SonarQube plugin, capable of measuring these metrics in quantum developments, is also presented. © 2024, IICM. All rights reserved.",ISO/IEC 25000; maintainability; quantum software; software assessment; software quality,2024,Journal of Universal Computer Science,Article,Opinion papers,Software Quality
1,SCP0136,Towards An Architecture Description Language for Hybrid Quantum-Classical Systems,"The rapid development of quantum computing technology has opened new possibilities for solving complex problems beyond the capabilities of classical computing paradigms. However, combining quantum computing with classical systems to create Hybrid Quantum-Classical (HQC) software systems presents unique challenges that require novel approaches in software architecture. This paper proposes a foundation for developing Architecture Description Languages (ADLs) specifically for HQC systems. We aim to provide a robust framework for coherently describing, integrating, and analyzing quantum and classical computing elements. The paper discusses the design principles, methodology, and structural components of the architecture description languages and outlines future research directions.  © 2024 IEEE.",architecture description language; hybrid quantum-classical system; Quantum computing; software architecture,2024,International Conference on Quantum Software,Conference Paper,Proposal of solution,Software Architecture
1,SCP0482,Towards AutoQML: A Cloud-Based Automated Circuit Architecture Search Framework,"The learning process of classical machine learning algorithms is tuned by hyperparameters that need to be customized to best learn and generalize from an input dataset. In recent years, Quantum Machine Learning (QML) has been gaining traction as a possible application of quantum computing which may provide quantum advantage in the future. However, quantum versions of classical machine learning algorithms introduce a plethora of additional parameters and circuit variations that have their own intricacies in being tuned.In this work, we take the first steps towards Automated Quantum Machine Learning (AutoQML). We propose a concrete description of the problem, and then develop a classical-quantum hybrid cloud architecture that allows for parallelized hyperparameter exploration and model training.As an application use-case, we train a quantum Generative Adversarial neural Network (qGAN) to generate energy prices that follow a known historic data distribution. Such a QML model can be used for various applications in the energy economics sector.  © 2022 IEEE.",cloud computing; parametrized quantum circuit; quantum machine learning; quantum neural network; software architecture,2022,International Conference on Software Architecture Companion,Conference Paper,Proposal of solution,Software Engineering Models and Methods
1,SCP0260,Towards Higher Abstraction Levels in Quantum Computing,"This work is a survey and a position paper towards a higher abstraction in quantum computing (QC) programming frameworks and software development kits (SDKs). Since in 2003, Peter Shor complained about the limited increase in the number of QC algorithms [19], we see an urgent need to bridge the gap between well-established classical physics and quantum physics so that approaches become more intuitive, and - hopefully - more quantum algorithms can be discovered. In service-based hybrid QC frameworks, where algorithms need to be partitioned into quantum and classical tasks, we look at the methods available and the abstractions used. For this paper we have investigated the various levels of abstraction in Silq, Qrisp, OpenQl, Qiskit, Cirq, IonQ, and Ocean, which are originated in the QC domain, as well as CUDA Quantum, rooted in the classical software domain. With the rise of Large Language Models (LLMs), we have also explored the capabilities of LLM-powered tools like GitHub Copilot, which currently represents the top level of abstraction. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024.",Abstraction; Hybrid Systems; Quantum Computing; Software Engineering,2024,International Conference on Service-Oriented Computing,Conference Paper,Opinion papers,Software Design
1,SCP0167,Towards Higher-Level Abstractions for Quantum Computing,"Quantum Computing (QC) has emerged as a field of ever-increasing activity as it promises to revolutionize computation and enable the solution of computational problems that we (realistically) cannot solve with Classical Computing to date. However, existing quantum programming environments mostly require an in-depth understanding of the basic QC building blocks, that is, quantum states, superposition, entanglement and measurement as well as the changing of quantum states using basic quantum gates. The present state of quantum programming reminds us of how Classical Computing was about 70 years ago when computing machines such as the ENIAC required significant effort to program solely using very basic digital building blocks. Over the decades, though, increasingly higher-level abstractions have been created on top of the basic building blocks of Classical Computing and made computation much more accessible and wide-spread. In order to make Quantum Computing more accessible, we argue that Software Engineering for QC needs to embark on a similar journey and create abstractions that shield developers from the basic QC building blocks as much as possible so that they can focus their attention on solving problems and less on how to manipulate quantum states using quantum circuits. Based on our experience of developing a scalable quantum n-queens solver, this paper aims to formulate recommendations for raising the level of abstraction in Quantum Software Engineering.  © 2022 ACM.",Programming Abstractions; Quantum Computing; Quantum Software Engineering,2022,Australasian Computer Science Week,Conference Paper,Proposal of solution,Software Design
1,SCP0184,Towards Model-Driven Quantum Software Engineering,"Quantum technologies are emerging. Dedicated languages for programming Quantum machines are emerging as well and already used in different settings. Orthogonal to this development, Model-Driven Engineering (MDE) is explored to ease the development of software systems by applying modeling techniques such as Domain-Specific Modeling Languages and generative techniques such as code generation. In this position paper, we argue for a dedicated research line which deals with the exploration of how MDE may be applied for Quantum technologies. This combination would allow to speed-up the development of Quantum software, open the door for domain experts to utilize Quantum technologies, and may provide an additional abstraction layer over existing Quantum hardware architectures and programming languages. We outline several research challenges which we derived from a demonstration case of how to exploit domain-specific modeling for social network analysis on Quantum technologies.  © 2021 IEEE.",Domain Specific Modeling Languages; Model Driven Engineering; Quantum Computing; Software Engineering,2021,International Workshop on Quantum Software Engineering,Conference Paper,Proposal of solution,Software Engineering Models and Methods
1,SCP0001,Towards Process Centered Architecting for Quantum Software Systems,"Quantum Software Engineering (QSE) is a recent trend-focused on unifying the principles of quantum mechanics and practices of software engineering-to design, develop, validate, and evolve quantum age software systems and applications. Software architecture for quantum computing (a.k. a. quantum software architectures (QSA)) supports the design, development, and maintenance etc. phases of quantum software systems using architectural components and connectors. QSA can enable quantum software designers and developers to map the operations of Qubits to architectural components and connectors for implementing quantum software. This research aims to explore the role of QSAs by investigating (i) architectural process having architecting activities, and (ii) human roles that can exploit available tools to automate and customise architecture-centric implementation of quantum software. Results of this research can facilitate knowledge transfer, enabling researchers and practitioners, to address challenges of architecture-centric implementation of quantum software systems.  © 2022 IEEE.",Architecture Process; Quantum Software Architecture; Quantum Software Engineering; Reference Architecture,2022,International Conference on Quantum Software,Conference Paper,Evaluation research,Software Engineering Process
1,SCP0074,Towards Quantum Requirements Engineering,"Quantum computing is rapidly transitioning from a scientific curiosity to an industrial reality, offering the potential to overcome classical computation limitations. This shift has given rise to the field of quantum software engineering (QSE), focused on developing novel approaches for engineering large-scale quantum applications. Traditional software engineering methods fall short in addressing the unique characteristics of quantum computing, necessitating innovative QSE methodologies and tools. While progress has been made in testing and debugging quantum programs, very little work has been done on analyzing if and how existing requirements engineering techniques can address the challenges that designing quantum software raises. This paper discusses some of the challenges for requirements engineers while eliciting requirements for quantum software, modeling the collected requirements, and analyzing them, and introduces some initial solutions for eliciting, modeling, and analyzing quantum requirements.  © 2023 IEEE.",Model Checking; Quantum Computing; Quantum Finite State Machines; Requirements Elicitation; Requirements Modeling,2023,International Requirements Engineering Conference Workshops,Conference Paper,Proposal of solution,Software Requirements
1,SCP0011,Towards Quantum Software Requirements Engineering,"Quantum software engineering (QSE) is receiving increasing attention, as evidenced by increasing publications on topics, e.g., quantum software modeling, testing, and debugging. However, in the literature, quantum software requirements engineering (QSRE) is still a software engineering area that is relatively less investigated. To this end, in this paper, we provide an initial set of thoughts about how requirements engineering for quantum software might differ from that for classical software after making an effort to map classical requirements classifications (e.g., functional and extra-functional requirements) into the context of quantum software. Moreover, we provide discussions on various aspects of QSRE that deserve attention from the Quantum software engineering community.  © 2023 IEEE.",quantum software engineering; requirements; requirements engineering,2023,International Conference on Quantum Computing and Engineering,Conference Paper,Opinion papers,Software Requirements
1,SCP0158,Towards Quantum-algorithms-as-a-service,"Quantum computing is an emerging field of high interest. Many companies have started to work on developing more powerful and stable quantum computers. However, developers still struggle to master the art of programming with a quantum computer. One of the major challenges faced is the integration of quantum parts of a system with the classical one. This paper proposes a novel development model called Quantum-Algorithms-as-a-Service (QAaaS). This new model aims to allow developers to abstract the quantum components away from the design of the software they are building. The model leverages Software-as-a-Service and Function-as-a-Service to support multiple quantum cloud providers and run their algorithms regardless of the underlying hardware.  © 2022 ACM.",QaaS; Quantum Computing; Quantum Software Engineering; XaaS,2022,International Workshop on Quantum Programming for Software Engineering,Conference Paper,Proposal of solution,Software Architecture
1,SCP0027,Understanding Quantum Software Engineering Challenges An Empirical Study on Stack Exchange Forums and GitHub Issues,"With the advance of quantum computing, quantum software becomes critical for exploring the full potential of quantum computing systems. Recently, quantum software engineering (QSE) becomes an emerging area attracting more and more attention. However, it is not clear what are the challenges and opportunities of quantum computing facing the software engineering community. This work aims to understand the QSE-related challenges perceived by developers. We perform an empirical study on Stack Exchange forums where developers post-QSE-related questions answers and Github issue reports where developers raise QSE-related issues in practical quantum computing projects. Based on an existing taxonomy of question types on Stack Overflow, we first perform a qualitative analysis of the types of QSE-related questions asked on Stack Exchange forums. We then use automated topic modeling to uncover the topics in QSE-related Stack Exchange posts and GitHub issue reports. Our study highlights some particularly challenging areas of QSE that are different from that of traditional software engineering, such as explaining the theory behind quantum computing code, interpreting quantum program outputs, and bridging the knowledge gap between quantum computing and classical computing, as well as their associated opportunities.  © 2021 IEEE.",Issue reports; Quantum computing; Quantum software engineering; Stack Exchange; Topic modeling,2021,IEEE International Conference on Software Maintenance and Evolution,Conference Paper,Evaluation research,Software Architecture
1,SCP0094,Unraveling quantum computing system architectures: An extensive survey of cutting-edge paradigms,"Context: The convergence of physics and computer science in the realm of quantum computing systems has sparked a profound revolution within the computer industry. However, despite such promise, the existing focus on quantum software systems primarily centers on the generation of quantum source code, inadvertently overlooking the pivotal role of the overall software architecture. Objectives: In order to provide comprehensive guidance to researchers and practitioners engaged in quantum software development, employing an architecture-centered development model, an extensive literature review was conducted pertaining to existing research on quantum software architecture. The analysis encompasses a detailed examination of the characteristics exhibited by these studies and the identification of prospective challenges that lie ahead in the field of quantum software architecture. Methods: We have closely examined instances of quantum software engineering, quantum modeling languages, quantum design patterns, and quantum communication security to gain insights into the distinctive attributes associated with various software architecture approaches. Results: Our findings underscore the critical significance of prioritizing software architecture in the development of robust and efficient quantum software systems. Through the synthesis of these multifaceted aspects, both researchers and practitioners can devise quantum software solutions that are inherently architecture-centric. Conclusion: The software architecture of quantum computing systems plays a pivotal role in determining their ultimate success and usability. Given the ongoing advancements in quantum computing technology, the migration of traditional software architecture development methods to the domain of quantum software development holds significant importance. © 2023 Elsevier B.V.",Quantum computing; Quantum software architecture; Quantum software engineering,2024,Information and Software Technology,Article,Evaluation research,Software Architecture
1,SCP0066,Verification of Quantum Programs,"With the rapid development of quantum hardware, people tend to believe that special-purpose quantum computers with more than 100 qubits will be available in 5 to 10 years. It is conceivable that, once this becomes a reality, the development of quantum software will be crucial in harnessing the power of quantum computers. However, due to the distinguishable features of quantum mechanics, such as the no-cloning of quantum information and the nonlocal effect of entanglement, developing correct and efficient quantum programs and communication protocols is a challenging issue. Formal verification methods, particularly model checking techniques, have proven effective in classical software design and system modelling. Therefore, formal verification of quantum software has received more and more attention recently. This article reviews recent research findings in verification of both sequential quantum programs and quantum communication protocols, with the focus placed on the work of the two authors' research groups. Future directions and challenges in this area are also discussed. © Copyright 2018, Institute of Software, the Chinese Academy of Sciences. All rights reserved.","Model checking, verification of communication protocol; Program verification; Quantum computing",2018,Journal of Software,Article,Proposal of solution,Software Quality
1,SCP0200,When software engineering meets quantum computing,[No abstract available],,2022,Communications of the ACM,Article,Philosophical papers,The Software Engineering in General
2,R2IEEE13,A Collaborative Tool for Quantum Circuit Programming,"The rapid growth of quantum computing calls for more accessible, interoperable, and collaborative development environments. While current quantum providers allow remote execution of quantum circuits, developers still face significant challenges due to fragmented programming models, lack of standardization, and limited support for collaboration. In response to these issues, this work introduces a web-based tool that integrates three key capabilities: visual circuit design, realtime collaborative editing, and deployment of quantum circuits as services. This feature enables multiple developers to codesign quantum circuits synchronously, in the spirit of cloudbased collaborative tools. This functionality facilitates teamwork, education, and reproducibility in quantum software engineering by allowing users to edit, share, and review quantum circuits simultaneously. In addition to collaborative editing, the tool also allows developers to automatically translate circuits into code compatible with both Qiskit and Amazon Braket, execute them on real quantum back-ends, and visualize execution results.",Visualization;Collaborative tools;Collaboration;Computer architecture;Reproducibility of results;Real-time systems;Synchronization;Quantum circuit;Programming profession;Software engineering;Quantum Computing;Quantum Software Engineering;Quantum Circuit;Collaboration;Programming tool,2025,International Conference on Quantum Computing and Engineering,Conference Paper,Proposal of solution,Software Engineering Professional Practice
2,R2IEEE25,A Dynamic Test Oracle for Quantum Programs With Separable Output States,"As quantum software engineering advances, testing techniques are required to assess the quality of quantum programs (QPs). In the test process, the test oracle is vital for determining whether the test result indicates a success or a failure. Most related works directly measure the output states and acquire the corresponding test results by comparing the output distribution with the expected one. While attention has been paid to the capability of fault detection, the guarantee for the correctness of the produced test results remains limited. Unlike classical programs (CPs), the output quantum states of QPs should be transformed into probabilistic classical outcomes through quantum measurement. This additional operation of measurement could cause a test oracle to yield the wrong test results. Especially for high-dimensional output spaces, numerous measurement outcomes are required to capture the distribution characteristics, threatening the effectiveness and cost-efficiency of test oracles. Hence, this paper proposes a novel specified test oracle DOSS employing a dynamic scheme to integrate a quantum algorithm (i.e., swap test) with the direct measurement mode. This innovative approach enables the validation of individual outputs rather than their distribution during the testing phase. Considering acceptable cost, DOSS decomposes the fully or partially separable output states to lower the dimensionality and simplify the quantum circuit for testing. Empirical studies demonstrate that DOSS generally gives more correct test results than baselines, and maintains reasonable cost on an ideal simulator. Besides, DOSS’s effectiveness with quantum noise involved is validated via three noisy simulators.",Qubit;Quantum state;Logic gates;Hilbert space;Statistical analysis;Noise measurement;Quantum algorithm;Costs;Scalability;Quantum entanglement;Quantum software testing;test oracle;swap test;separable state,2026,Transactions on Software Engineering,Article,Validation research,Software Testing
2,R2SCP28,A Dynamic Testing Strategy With Incremental Learning Model for Quantum Programs,"Quantum computing has emerged as an innovative computational paradigm with great potential in various domains. As quantum computing advances, the development of high-quality quantum programs has become crucial, making it essential to ensure their reliability. Software testing plays a vital role in achieving the reliability and quality of software systems. Various testing strategies and tools have been proposed for traditional programs; however, research on testing methodologies for quantum programs is still in the early stages. Traditional testing techniques, while effective for classical programs, struggle to address the unique challenges posed by quantum programs, including inherent characteristics of quantum systems (such as superposition and entanglement), and the exponentially expanding input space as the number of qubits increases. Moreover, traditional testing strategies typically do not account for the hidden and nondeterministic failure patterns associated with input quantum bits (qubits), which, if recognized, could potentially lead to more efficient fault detection. Therefore, in this article, we introduce a novel approach—Quantum Dynamic Testing with Incremental Learning (QDT-IL)—which aims to effectively capture and adapt to the failure patterns in quantum programs. QDT-IL employs an incremental learning model to learn from executed test cases and continuously updates its predictions on the failure tendencies for new test cases. By utilizing distance-based diversity metrics, QDT-IL strategically increases the variety of test cases, enabling targeted exploration of failure-prone regions in the input space. This combination of adaptive learning and diverse test case selection noticeably enhances the effectiveness and efficiency of quantum program testing. Experimental studies show that QDT-IL outperforms the baseline strategies, providing a more effective testing process for quantum programs. © 2020 IEEE.",Failure patterns; incremental learning; quantum program testing; software cybernetics; test case distance,2026,Transactions on Quantum Engineering,Article,Validation research,Software Testing
2,R2IEEE32,A Framework for Debugging Quantum Programs,"Recent advancements in quantum computing software are gradually increasing the scope and size of quantum programs being developed. At the same time, however, these larger programs provide more possibilities for functional errors that are harder to detect and resolve. Meanwhile, debugging tools that could aid developers in resolving these errors are still barely existent and far from what we take for granted in classical design automation and software engineering. As a result, even if one manages to identify the incorrect behavior of a developed quantum program, detecting and resolving the underlying errors in the program remains a time-consuming and tedious task. Moreover, the exponential growth of the state space in quantum programs makes the efficient manual investigation of errors radically difficult even for respectively simple algorithms, and almost impossible as the number of qubits increases. To address this problem, this work proposes a debugging framework, available as an open-source implementation at https://github.com/cda-tum/mqt-debugger. It assists developers in debugging errors in quantum programs, allowing them to efficiently identify the existence of errors and diagnose their causes. Users are given the ability to place assertions in the code that test for the correctness of a given algorithm and are evaluated using classical simulations of the underlying quantum program. Once an assertion fails, the proposed framework employs different diagnostic methods to point towards possible error causes. This way, the debugging workload for quantum programs is drastically reduced.",Design automation;Codes;Qubit;Debugging;Manuals;Software;Software engineering;quantum computing;debugging;verification;static analysis;dynamic analysis,2025,International Conference on Quantum Software,Conference Paper,Proposal of solution,Software Testing
